"Time","Wattage","Temperature"
2024-02-24 17:27:52.056,0,40
2024-02-24 17:27:52.113,0,40
2024-02-24 17:27:52.158,0,40
2024-02-24 17:27:52.192,0,40
2024-02-24 17:27:50.580,0,40
2024-02-24 17:27:51.075,0,40
2024-02-24 17:27:51.389,0,40
2024-02-24 17:27:51.570,0,40
2024-02-24 17:27:51.774,0,40
2024-02-24 17:27:51.888,0,40
2024-02-24 17:27:52.021,0,40
2024-02-24 17:27:52.113,0,40
2024-02-24 17:27:52.192,0,40
2024-02-24 17:27:52.237,0,40
2024-02-24 17:27:52.295,0,40
2024-02-24 17:27:52.335,0,40
2024-02-24 17:27:52.381,0,40
2024-02-24 17:27:52.427,0,40
2024-02-24 17:27:52.472,0,40
2024-02-24 17:27:52.519,0,40
2024-02-24 17:27:52.565,0,40
2024-02-24 17:27:52.616,0,40
2024-02-24 17:27:52.661,0,40
2024-02-24 17:27:51.075,0,40
2024-02-24 17:27:51.570,0,40
2024-02-24 17:27:51.888,0,40
2024-02-24 17:27:52.113,0,40
2024-02-24 17:27:52.237,0,40
2024-02-24 17:27:52.335,0,40
2024-02-24 17:27:52.427,0,40
2024-02-24 17:27:52.519,0,40
2024-02-24 17:27:52.616,0,40
2024-02-24 17:27:52.741,0,40
2024-02-24 17:27:52.789,0,40
2024-02-24 17:27:52.835,0,40
2024-02-24 17:27:52.903,0,40
2024-02-24 17:27:52.938,0,40
2024-02-24 17:27:52.984,0,40
2024-02-24 17:27:53.040,0,40
2024-02-24 17:27:53.073,0,40
2024-02-24 17:27:53.131,0,40
2024-02-24 17:27:53.190,0,40
2024-02-24 17:27:51.570,0,40
2024-02-24 17:27:52.113,0,40
2024-02-24 17:27:52.335,0,40
2024-02-24 17:27:52.519,0,40
2024-02-24 17:27:52.741,0,40
2024-02-24 17:27:52.835,0,40
2024-02-24 17:27:52.938,0,40
2024-02-24 17:27:53.040,0,40
2024-02-24 17:27:53.131,0,40
2024-02-24 17:27:53.232,0,40
2024-02-24 17:27:53.280,0,40
2024-02-24 17:27:53.372,0,40
2024-02-24 17:27:53.443,0,40
2024-02-24 17:27:53.462,0,40
2024-02-24 17:27:53.496,0,40
2024-02-24 17:27:53.541,0,40
2024-02-24 17:27:53.597,0,40
2024-02-24 17:27:53.642,0,40
2024-02-24 17:27:53.684,0,40
2024-02-24 17:27:53.730,0,40
2024-02-24 17:27:52.113,0,40
2024-02-24 17:27:52.519,0,40
2024-02-24 17:27:52.835,0,40
2024-02-24 17:27:53.040,0,40
2024-02-24 17:27:53.232,0,40
2024-02-24 17:27:53.372,0,40
2024-02-24 17:27:53.462,0,40
2024-02-24 17:27:53.541,0,40
2024-02-24 17:27:53.642,0,40
2024-02-24 17:27:53.730,0,40
2024-02-24 17:27:53.777,0,40
2024-02-24 17:27:53.824,0,40
2024-02-24 17:27:53.870,0,40
2024-02-24 17:27:53.916,0,40
2024-02-24 17:27:53.982,0,40
2024-02-24 17:27:54.028,0,40
